item,valence,arousal,img,aoa,length,SUBTLWF,LgSUBTLWF,OLD,PLD,e2hit,e2fa,e2hminfa,e1hit,e1fa,e1hminfa,valstrength,e1e2hits,e1e2fas,e1e2hminfas,valxarousal
attract,6.38,5.35,3.6,4.85,7,5.69,2.46,2.45,1.80,.70,.30,.40,.57,.23,.33,1.38,.63,.27,.37,7.38
auction,5.43,4.50,5.7,4.94,7,8.90,2.66,2.10,1.95,.67,.17,.50,.63,.27,.37,.43,.65,.22,.43,1.94
audit,2.82,5.78,3.0,6.15,5,1.12,1.76,1.95,1.85,.73,.17,.57,.73,.10,.63,2.18,.73,.13,.60,12.60
aura,6.45,4.70,3.2,5.91,4,1.82,1.97,1.90,1.55,.83,.03,.80,.97,.17,.80,1.45,.90,.10,.80,6.82
author,6.33,2.73,4.9,3.91,6,7.94,2.61,2.40,1.80,.83,.07,.77,.67,.17,.50,1.33,.75,.12,.63,3.63
auto,5.00,4.95,5.8,4.12,4,7.67,2.59,1.90,1.85,.60,.03,.57,.73,.13,.60,.00,.67,.08,.58,.00
autumn,7.12,3.21,6.6,3.97,6,3.78,2.29,2.90,1.85,.77,.07,.70,.70,.13,.57,2.12,.73,.10,.63,6.81
avail,5.42,3.77,1.7,5.76,5,.84,1.64,1.95,1.75,.80,.30,.50,.77,.27,.50,.42,.78,.28,.50,1.58
avenge,4.05,6.35,2.8,5.48,6,3.02,2.19,2.55,2.45,.80,.30,.50,.80,.30,.50,.95,.80,.30,.50,6.03
avert,5.16,3.62,2.6,5.61,5,.59,1.49,1.85,1.75,.80,.37,.43,.60,.47,.13,.16,.70,.42,.28,.58
avoid,4.10,3.92,3.8,4.45,5,24.29,3.09,2.00,1.85,.63,.30,.33,.63,.23,.40,.90,.63,.27,.37,3.53
await,5.33,2.91,2.7,4.94,5,3.55,2.26,1.90,1.65,.57,.07,.50,.57,.17,.40,.33,.57,.12,.45,.96
awake,6.76,5.50,5.2,3.42,5,26.71,3.13,1.80,1.70,.83,.23,.60,.67,.60,.07,1.76,.75,.42,.33,9.68
award,7.86,5.85,5.3,3.82,5,12.88,2.82,1.85,1.60,.80,.27,.53,.63,.27,.37,2.86,.72,.27,.45,16.73
aware,6.86,4.70,3.8,4.45,5,35.65,3.26,1.85,1.75,.57,.27,.30,.70,.23,.47,1.86,.63,.25,.38,8.74
away,,,2.7,3.64,4,730.90,4.57,1.85,1.60,.63,.10,.53,.57,.17,.40,,.60,.13,.47,
awesome,7.86,6.05,3.5,3.88,7,31.37,3.20,2.95,2.65,.60,.07,.53,.60,.13,.47,2.86,.60,.10,.50,17.30
awful,2.28,4.86,2.9,3.91,5,63.41,3.51,2.55,1.85,.57,.03,.53,.60,.20,.40,2.72,.58,.12,.47,13.22
awhile,,,2.1,4.09,6,9.47,2.68,2.50,2.65,.63,.10,.53,.53,.10,.43,,.58,.10,.48,
awkward,2.95,4.55,4.9,4.73,7,14.31,2.86,2.85,2.35,.90,.03,.87,.80,.17,.63,2.05,.85,.10,.75,9.33
awoke,,,4.4,4.55,5,1.31,1.83,1.90,1.90,.60,.07,.53,.63,.27,.37,,.62,.17,.45,
awry,,,2.1,5.97,4,.55,1.46,1.85,1.90,.90,.10,.80,.77,.13,.63,,.83,.12,.72,
axis,4.19,3.92,5.2,5.58,4,1.59,1.91,1.90,1.90,.53,.13,.40,.77,.17,.60,.81,.65,.15,.50,3.18
axle,4.67,2.45,5.4,4.91,4,1.24,1.81,1.80,1.95,.87,.10,.77,.80,.10,.70,.33,.83,.10,.73,.81
babble,4.55,4.00,4.4,4.91,6,.86,1.65,1.70,1.55,.87,.27,.60,.73,.30,.43,.45,.80,.28,.52,1.80
baboon,5.55,5.11,6.5,4.03,6,1.71,1.94,2.30,2.00,.83,.30,.53,.77,.27,.50,.55,.80,.28,.52,2.81
baby,6.67,4.97,6.9,2.58,4,509.37,4.41,1.90,1.70,.70,.00,.70,.70,.07,.63,1.67,.70,.03,.67,8.30
backward,,,4.2,3.85,8,3.12,2.20,2.55,2.55,.67,.03,.63,.57,.13,.43,,.62,.08,.53,
bacon,7.52,4.16,6.7,3.12,5,11.86,2.78,1.85,1.70,.77,.03,.73,.80,.23,.57,2.52,.78,.13,.65,10.48
bagel,6.32,3.60,6.6,3.73,,,,,,.90,.17,.73,.93,.23,.70,1.32,.92,.20,.72,4.75
baggage,4.50,4.00,6.4,4.82,7,6.24,2.50,2.85,2.55,.77,.23,.53,.93,.33,.60,.50,.85,.28,.57,2.00
bailiff,3.95,4.33,5.3,5.88,7,2.16,2.05,2.95,1.90,.83,.10,.73,.72,.07,.66,1.05,.78,.08,.70,4.55
balance,6.84,4.13,4.9,4.06,7,14.98,2.88,2.40,1.90,.73,.30,.43,.50,.31,.19,1.84,.62,.31,.31,7.60
ballad,6.33,3.60,3.7,5.36,6,1.41,1.86,1.85,1.80,.77,.17,.60,.80,.40,.40,1.33,.78,.28,.50,4.79
ballast,4.67,4.06,2.2,6.03,7,1.18,1.79,2.55,1.85,.80,.10,.70,.70,.10,.60,.33,.75,.10,.65,1.34
ballet,6.86,3.72,6.4,3.76,6,10.25,2.72,1.65,1.85,.77,.33,.43,.83,.40,.43,1.86,.80,.37,.43,6.92
balloon,6.84,3.90,6.9,2.61,7,8.67,2.65,2.40,1.75,.70,.23,.47,.77,.17,.60,1.84,.73,.20,.53,7.18
ballot,5.29,4.15,5.0,5.06,6,1.35,1.85,1.85,1.55,.73,.27,.47,.77,.30,.47,.29,.75,.28,.47,1.20
bamboo,6.33,3.20,6.5,4.55,6,1.57,1.91,2.70,2.60,.87,.17,.70,.83,.23,.60,1.33,.85,.20,.65,4.26
bandage,3.63,3.64,6.1,3.79,7,2.86,2.17,2.30,2.30,.77,.10,.67,.67,.13,.53,1.37,.72,.12,.60,4.99
bandit,3.88,5.18,5.8,4.85,6,3.75,2.28,2.40,1.80,.83,.20,.63,.93,.40,.53,1.12,.88,.30,.58,5.80
banish,3.85,4.71,3.7,5.39,6,1.35,1.85,1.90,1.85,.87,.17,.70,.73,.27,.47,1.15,.80,.22,.58,5.42
banjo,6.35,3.53,6.7,4.39,5,1.63,1.92,2.30,2.70,.87,.07,.80,.73,.13,.60,1.35,.80,.10,.70,4.77
bankrupt,2.21,5.49,4.6,5.45,8,2.80,2.16,3.70,3.65,.77,.20,.57,.67,.17,.50,2.79,.72,.18,.53,15.32
banner,5.17,3.55,6.0,4.64,6,5.92,2.48,1.70,1.55,.87,.33,.53,.57,.33,.23,.17,.72,.33,.38,.60
banquet,6.11,4.57,6.3,5.09,7,5.16,2.42,2.80,2.65,.77,.47,.30,.83,.60,.23,1.11,.80,.53,.27,5.07
banshee,3.58,5.09,4.4,5.85,7,1.12,1.76,2.80,1.95,.90,.10,.80,.77,.17,.60,1.42,.83,.13,.70,7.23
banter,5.48,3.50,2.9,5.97,6,1.37,1.85,1.70,1.30,.73,.27,.47,.60,.20,.40,.48,.67,.23,.43,1.68
baptize,5.59,3.32,6.4,4.24,7,.73,1.58,2.70,2.85,.80,.10,.70,.72,.14,.59,.59,.76,.12,.64,1.96
barber,4.89,3.18,6.5,4.18,6,5.47,2.45,1.80,1.80,.77,.17,.60,.80,.17,.63,.11,.78,.17,.62,.35
barely,,,3.7,4.61,6,29.06,3.17,1.95,1.70,.80,.33,.47,.70,.20,.50,,.75,.27,.48,
bargain,7.63,5.48,4.2,5.12,7,12.00,2.79,2.60,1.95,.77,.27,.50,.77,.30,.47,2.63,.77,.28,.48,14.41
barley,4.95,3.62,5.4,5.30,6,.90,1.67,1.95,1.85,.70,.27,.43,.83,.20,.63,.05,.77,.23,.53,.18
barrage,4.24,3.96,3.9,5.97,7,1.04,1.73,2.30,2.25,.73,.20,.53,.77,.30,.47,.76,.75,.25,.50,3.01
barrel,4.92,3.43,6.7,4.61,6,10.63,2.73,1.75,1.65,.83,.37,.47,.90,.40,.50,.08,.87,.38,.48,.27
barren,3.79,3.59,4.0,5.55,6,1.47,1.88,1.85,1.65,.73,.23,.50,.63,.20,.43,1.21,.68,.22,.47,4.34
barter,5.64,4.74,4.4,5.79,6,.90,1.67,1.70,1.45,.73,.20,.53,.70,.23,.47,.64,.72,.22,.50,3.03
baseball,5.79,3.15,6.8,3.18,8,25.25,3.11,3.05,3.00,.80,.03,.77,.73,.00,.73,.79,.77,.02,.75,2.49
basement,4.81,3.33,6.6,3.24,8,21.06,3.03,2.35,2.20,.63,.13,.50,.67,.13,.53,.19,.65,.13,.52,.63
bashful,5.55,4.36,4.7,4.79,7,1.24,1.81,2.80,2.25,.67,.03,.63,.57,.03,.53,.55,.62,.03,.58,2.40
basic,5.50,2.95,3.1,4.12,5,15.57,2.90,1.80,1.85,.63,.23,.40,.60,.33,.27,.50,.62,.28,.33,1.48
basil,6.43,3.82,5.8,5.39,5,1.35,1.85,1.80,1.90,.87,.27,.60,.90,.27,.63,1.43,.88,.27,.62,5.46
basin,5.47,2.77,4.5,5.42,5,1.88,1.99,1.80,1.90,.70,.30,.40,.77,.30,.47,.47,.73,.30,.43,1.30
basis,5.42,2.68,2.0,5.06,5,11.94,2.79,1.65,1.80,.50,.13,.37,.53,.27,.27,.42,.52,.20,.32,1.13
basket,5.66,2.48,6.5,3.61,6,13.18,2.83,1.75,1.70,.63,.20,.43,.73,.33,.40,.66,.68,.27,.42,1.64
bastard,3.31,5.10,4.7,5.58,7,65.65,3.52,2.65,1.85,.97,.07,.90,.87,.17,.70,1.69,.92,.12,.80,8.62
bathroom,5.26,2.86,6.7,2.64,8,61.67,3.50,3.00,2.70,.57,.13,.43,.63,.13,.50,.26,.60,.13,.47,.74
baton,4.63,3.64,4.8,5.33,5,2.84,2.16,1.90,2.20,.67,.17,.50,.83,.30,.53,.37,.75,.23,.52,1.35
battle,3.52,6.25,5.8,4.21,6,42.25,3.33,1.75,1.40,.70,.43,.27,.57,.37,.20,1.48,.63,.40,.23,9.25
batty,4.44,4.05,2.9,5.42,,,,,,.77,.07,.70,.80,.13,.67,.56,.78,.10,.68,2.27
bayou,6.20,3.81,4.4,6.15,5,1.33,1.84,2.40,1.60,.90,.07,.83,.90,.10,.80,1.20,.90,.08,.82,4.57
bazaar,6.42,5.90,3.8,5.39,6,1.14,1.77,2.90,2.35,.87,.07,.80,.73,.13,.60,1.42,.80,.10,.70,8.38
beacon,5.18,4.52,4.9,5.48,6,3.86,2.30,2.30,1.75,.87,.23,.63,.90,.23,.67,.18,.88,.23,.65,.81
beanie,5.58,3.58,5.7,4.61,,,,,,.83,.00,.83,.70,.10,.60,.58,.77,.05,.72,2.08
beatnik,3.89,4.21,2.5,6.12,7,.63,1.52,3.00,2.75,.60,.07,.53,.80,.07,.73,1.11,.70,.07,.63,4.67
beauty,7.58,4.89,5.8,3.64,6,48.24,3.39,2.15,1.85,.63,.07,.57,.73,.17,.57,2.58,.68,.12,.57,12.62
beaver,5.00,4.05,6.5,3.18,6,4.82,2.39,1.75,1.80,.93,.17,.77,.80,.13,.67,.00,.87,.15,.72,.00
because,,,1.8,3.52,7,1071.02,4.74,2.80,2.00,.63,.10,.53,.47,.13,.33,,.55,.12,.43,
become,6.32,3.43,2.0,3.91,6,115.57,3.77,2.45,2.25,.47,.10,.37,.60,.20,.40,1.32,.53,.15,.38,4.53
bedlam,,,2.4,6.36,6,1.22,1.80,2.90,2.75,.63,.03,.60,.57,.07,.50,,.60,.05,.55,
bedroom,7.00,4.90,6.7,2.52,7,36.71,3.27,2.65,2.60,.63,.13,.50,.63,.13,.50,2.00,.63,.13,.50,9.80
beetle,4.20,4.45,6.6,3.39,6,2.06,2.03,1.95,1.70,.73,.00,.73,.73,.20,.53,.80,.73,.10,.63,3.56
befall,3.91,4.24,1.9,5.82,6,.59,1.49,2.35,2.10,.63,.00,.63,.53,.03,.50,1.09,.58,.02,.57,4.62
before,,,2.1,3.36,6,794.14,4.61,2.55,2.30,.60,.20,.40,.62,.31,.31,,.61,.26,.36,
beggar,2.92,4.29,5.3,4.67,6,2.47,2.10,2.40,1.75,.87,.07,.80,.73,.13,.60,2.08,.80,.10,.70,8.92
begin,6.44,2.85,2.2,3.58,5,56.98,3.46,1.85,1.80,.57,.30,.27,.57,.27,.30,1.44,.57,.28,.28,4.10
behalf,,,2.6,5.30,6,12.16,2.79,2.70,2.80,.77,.10,.67,.67,.27,.40,,.72,.18,.53,
behave,6.25,3.72,3.2,3.97,6,16.24,2.92,2.15,2.40,.63,.20,.43,.60,.27,.33,1.25,.62,.23,.38,4.65
behind,,,4.1,3.70,6,187.86,3.98,2.35,2.40,.57,.07,.50,.63,.17,.47,,.60,.12,.48,
behold,6.48,3.88,2.7,5.03,6,5.94,2.48,2.30,2.35,.57,.17,.40,.57,.17,.40,1.48,.57,.17,.40,5.74
being,,,2.6,3.61,5,485.90,4.39,1.80,1.60,.60,.10,.50,.53,.20,.33,,.57,.15,.42,
belief,6.14,3.95,3.5,4.15,6,7.61,2.59,2.35,1.90,.67,.30,.37,.67,.17,.50,1.14,.67,.23,.43,4.50
believe,7.05,3.33,3.2,3.97,7,625.14,4.50,2.25,1.80,.77,.20,.57,.60,.37,.23,2.05,.68,.28,.40,6.83
belly,4.37,3.75,6.7,2.73,5,15.57,2.90,1.55,1.00,.77,.17,.60,.83,.17,.67,.63,.80,.17,.63,2.36
belong,6.50,2.90,3.0,4.12,6,44.37,3.35,2.15,2.05,.63,.17,.47,.43,.30,.13,1.50,.53,.23,.30,4.35
below,,,4.3,3.64,5,28.04,3.16,1.90,1.30,.57,.13,.43,.57,.07,.50,,.57,.10,.47,
beneath,,,4.3,4.64,7,11.63,2.77,2.90,2.25,.60,.13,.47,.57,.17,.40,,.58,.15,.43,
benign,5.86,3.26,2.8,6.12,6,1.14,1.77,2.55,2.05,.87,.13,.73,.80,.10,.70,.86,.83,.12,.72,2.80
bequeath,4.64,4.39,1.8,6.33,8,.84,1.64,3.35,2.80,.90,.20,.70,.77,.17,.60,.36,.83,.18,.65,1.58
beret,5.05,3.78,4.3,5.36,5,.94,1.69,1.75,1.85,.80,.20,.60,.60,.20,.40,.05,.70,.20,.50,.19
berserk,3.75,5.08,3.5,5.79,7,1.37,1.85,3.00,3.55,.87,.10,.77,.73,.10,.63,1.25,.80,.10,.70,6.35
beseech,4.89,4.77,2.2,6.15,7,1.55,1.90,2.90,2.30,.87,.10,.77,.77,.07,.70,.11,.82,.08,.73,.52
beside,,,3.5,4.33,6,15.18,2.89,1.80,1.85,.53,.20,.33,.63,.13,.50,,.58,.17,.42,
bestow,6.50,3.80,2.5,5.88,6,1.10,1.76,2.60,1.90,.60,.07,.53,.60,.13,.47,1.50,.60,.10,.50,5.70
betray,2.52,5.33,4.0,5.00,6,9.14,2.67,2.30,1.90,.80,.20,.60,.83,.23,.60,2.48,.82,.22,.60,13.22
better,,,2.4,3.48,6,794.00,4.61,1.60,1.25,.40,.07,.33,.37,.10,.27,,.38,.08,.30,
between,,,4.0,3.61,7,175.14,3.95,3.25,2.95,.70,.17,.53,.77,.20,.57,,.73,.18,.55,
beware,3.30,5.24,3.3,4.12,6,5.73,2.47,2.10,2.05,.53,.30,.23,.60,.20,.40,1.70,.57,.25,.32,8.91
beyond,,,3.5,4.45,6,43.14,3.34,2.60,1.85,.70,.13,.57,.53,.20,.33,,.62,.17,.45,
bias,3.95,4.27,3.2,5.94,4,1.61,1.92,1.85,1.80,.77,.13,.63,.83,.13,.70,1.05,.80,.13,.67,4.48
bible,5.74,3.65,6.8,3.55,5,18.33,2.97,1.90,1.85,.87,.10,.77,.77,.13,.63,.74,.82,.12,.70,2.70
bigot,2.75,5.37,3.3,5.94,5,.61,1.51,1.95,1.85,.73,.10,.63,.83,.10,.73,2.25,.78,.10,.68,12.08
bimbo,3.10,3.52,5.0,5.61,,,,,,.93,.00,.93,.90,.07,.83,1.90,.92,.03,.88,6.69
bingo,5.62,5.00,6.7,3.67,5,12.55,2.81,1.75,2.05,.83,.07,.77,.97,.17,.80,.62,.90,.12,.78,3.10
birthday,6.37,4.60,6.7,2.30,8,97.22,3.70,3.70,3.20,.90,.03,.87,.67,.03,.63,1.37,.78,.03,.75,6.30
biscuit,6.45,2.91,6.8,3.76,7,3.75,2.28,2.85,1.90,.70,.13,.57,.70,.17,.53,1.45,.70,.15,.55,4.22
bistro,5.95,4.33,4.7,5.76,6,.90,1.67,2.85,2.60,.83,.10,.73,.80,.07,.73,.95,.82,.08,.73,4.11
bitter,3.63,4.64,4.2,4.73,6,11.14,2.76,1.50,1.30,.70,.27,.43,.72,.31,.41,1.37,.71,.29,.42,6.36
bizarre,4.41,5.00,4.8,5.15,7,7.29,2.57,2.95,2.20,.87,.20,.67,.77,.27,.50,.59,.82,.23,.58,2.95
bladder,4.58,3.78,6.0,4.45,7,3.96,2.31,2.10,1.55,.83,.13,.70,.80,.30,.50,.42,.82,.22,.60,1.59
blanket,7.05,2.23,6.5,2.91,7,12.98,2.82,2.25,2.35,.60,.20,.40,.57,.13,.43,2.05,.58,.17,.42,4.57
blatant,3.68,4.62,3.0,6.09,7,1.14,1.77,2.90,2.90,.70,.17,.53,.67,.10,.57,1.32,.68,.13,.55,6.10
blazer,5.50,4.22,6.2,5.24,6,1.22,1.80,1.90,1.95,.87,.10,.77,.80,.20,.60,.50,.83,.15,.68,2.11
blemish,3.10,4.81,5.6,5.52,7,.59,1.49,2.75,2.50,.87,.10,.77,.90,.23,.67,1.90,.88,.17,.72,9.14
blister,2.87,4.70,6.3,4.55,7,.94,1.69,1.90,1.85,.73,.03,.70,.63,.13,.50,2.13,.68,.08,.60,10.01
blizzard,4.36,6.53,7.0,4.12,8,1.94,2.00,3.40,2.35,.83,.03,.80,.76,.24,.52,.64,.80,.14,.66,4.18
blockade,3.45,3.40,5.4,5.79,8,1.53,1.90,2.70,2.35,.77,.13,.63,.63,.17,.47,1.55,.70,.15,.55,5.27
blossom,7.05,4.75,6.5,4.45,7,3.61,2.27,2.75,2.60,.83,.30,.53,.80,.33,.47,2.05,.82,.32,.50,9.74
blubber,3.85,4.27,5.9,5.12,7,.84,1.64,2.30,1.95,.90,.23,.67,.77,.10,.67,1.15,.83,.17,.67,4.91
boa,3.63,5.23,5.6,5.00,3,1.29,1.83,1.45,1.45,.87,.03,.83,.93,.00,.93,1.37,.90,.02,.88,7.17
body,5.95,4.62,6.3,3.45,4,195.53,4.00,1.70,1.25,.57,.03,.53,.57,.10,.47,.95,.57,.07,.50,4.39
bogus,2.84,5.32,3.1,5.18,5,2.71,2.14,1.95,1.95,.77,.10,.67,.73,.10,.63,2.16,.75,.10,.65,11.49
bona,,,1.9,6.21,,,,,,.73,.07,.67,.77,.07,.70,,.75,.07,.68,
bondage,4.38,5.65,4.4,5.94,7,1.71,1.94,2.65,2.55,.80,.17,.63,.73,.27,.47,.62,.77,.22,.55,3.50
bonfire,6.53,4.67,6.8,4.55,7,1.75,1.95,2.70,2.85,.83,.17,.67,.80,.03,.77,1.53,.82,.10,.72,7.15
bonnet,4.89,2.96,6.6,4.91,6,1.86,1.98,2.05,1.95,.77,.30,.47,.83,.37,.47,.11,.80,.33,.47,.33
bonsai,6.38,4.10,4.6,6.33,6,.98,1.71,3.00,2.90,.90,.13,.77,.83,.03,.80,1.38,.87,.08,.78,5.66
bonus,8.05,6.90,4.0,4.58,5,9.20,2.67,1.80,1.80,.57,.17,.40,.73,.17,.57,3.05,.65,.17,.48,21.05
boogie,3.80,4.55,5.5,4.18,6,5.20,2.42,2.45,1.65,.87,.10,.77,.67,.17,.50,1.20,.77,.13,.63,5.46
bookie,4.57,4.00,5.2,5.58,6,2.55,2.12,1.90,1.50,.80,.00,.80,.83,.10,.73,.43,.82,.05,.77,1.72
border,4.68,4.30,6.3,4.36,6,17.18,2.94,1.75,1.45,.83,.30,.53,.50,.17,.33,.32,.67,.23,.43,1.38
boring,2.71,2.85,4.2,3.48,6,27.41,3.15,1.75,1.35,.90,.13,.77,.63,.10,.53,2.29,.77,.12,.65,6.53
borough,5.00,3.45,2.5,5.82,7,1.18,1.79,2.60,1.75,.87,.10,.77,.83,.17,.67,.00,.85,.13,.72,.00
borrow,5.18,4.55,3.6,4.15,6,29.31,3.17,1.75,1.40,.73,.30,.43,.77,.30,.47,.18,.75,.30,.45,.82
bosom,6.44,4.70,4.5,5.67,5,3.12,2.20,1.90,2.75,.93,.03,.90,.87,.10,.77,1.44,.90,.07,.83,6.77
bother,4.44,4.20,4.3,4.03,6,67.37,3.54,1.80,1.75,.73,.17,.57,.70,.23,.47,.56,.72,.20,.52,2.35
bottle,5.47,3.32,6.7,2.88,6,50.75,3.41,1.80,1.45,.67,.13,.53,.73,.17,.57,.47,.70,.15,.55,1.56
bottom,3.61,3.19,5.2,3.21,6,49.92,3.41,2.35,1.90,.73,.33,.40,.63,.23,.40,1.39,.68,.28,.40,4.43
boulder,,,5.7,4.67,7,2.08,2.03,1.90,1.60,.83,.17,.67,.87,.30,.57,,.85,.23,.62,
bounty,4.37,4.85,4.2,5.39,6,7.18,2.56,1.90,1.85,.77,.20,.57,.70,.13,.57,.63,.73,.17,.57,3.06
bouquet,6.67,3.33,6.0,5.03,7,3.22,2.22,2.85,1.85,.83,.17,.67,.73,.40,.33,1.67,.78,.28,.50,5.56
bourbon,5.70,5.95,5.2,6.45,7,6.25,2.51,2.80,1.85,.80,.20,.60,.80,.20,.60,.70,.80,.20,.60,4.17
boutique,6.10,4.33,5.8,5.33,8,1.08,1.75,3.50,2.30,.83,.17,.67,.93,.17,.77,1.10,.88,.17,.72,4.76
bowel,3.21,3.57,5.7,5.33,5,3.59,2.26,1.65,1.75,.70,.03,.67,.77,.23,.53,1.79,.73,.13,.60,6.39
boxer,5.21,4.14,6.4,4.39,5,3.84,2.29,1.75,1.95,.70,.17,.53,.67,.00,.67,.21,.68,.08,.60,.87
boycott,4.20,5.00,4.9,5.36,7,.96,1.70,3.35,2.85,.87,.10,.77,.77,.03,.73,.80,.82,.07,.75,4.00
bozo,4.35,4.32,4.6,4.97,,,,,,.90,.10,.80,.87,.20,.67,.65,.88,.15,.73,2.81
bracelet,6.48,3.96,6.6,3.33,8,7.80,2.60,2.95,2.80,.77,.10,.67,.73,.10,.63,1.48,.75,.10,.65,5.86
bracket,4.63,3.15,5.2,5.03,7,.63,1.52,1.85,1.90,.73,.33,.40,.80,.27,.53,.37,.77,.30,.47,1.17
brandy,5.67,3.86,6.0,5.85,6,11.12,2.75,1.85,1.95,.80,.03,.77,.83,.03,.80,.67,.82,.03,.78,2.59
brassiere,6.00,4.68,4.1,6.30,9,.53,1.45,3.80,1.95,.90,.03,.87,.93,.17,.77,1.00,.92,.10,.82,4.68
breakfast,7.39,5.00,6.7,2.58,9,66.29,3.53,3.30,3.20,.73,.13,.60,.53,.10,.43,2.39,.63,.12,.52,11.95
brigade,4.43,4.44,4.5,5.91,7,3.20,2.21,2.65,2.30,.73,.20,.53,.70,.10,.60,.57,.72,.15,.57,2.53
brisket,5.60,4.27,5.2,5.73,7,.92,1.68,2.55,2.55,.87,.13,.73,.80,.23,.57,.60,.83,.18,.65,2.56
brittle,3.86,4.42,5.4,5.18,7,1.39,1.86,2.20,1.65,.73,.10,.63,.73,.27,.47,1.14,.73,.18,.55,5.04
brochure,4.74,3.43,6.0,5.12,8,1.90,1.99,3.25,2.90,.67,.27,.40,.70,.23,.47,.26,.68,.25,.43,.89
broker,4.15,3.77,3.7,5.73,6,3.63,2.27,1.80,1.85,.77,.10,.67,.70,.13,.57,.85,.73,.12,.62,3.20
brothel,4.63,5.40,5.2,6.06,7,1.61,1.92,2.65,2.85,.97,.10,.87,.97,.17,.80,.37,.97,.13,.83,2.00
brother,6.18,4.48,6.8,2.61,7,283.94,4.16,1.90,1.90,.73,.13,.60,.63,.07,.57,1.18,.68,.10,.58,5.29
brunette,6.35,4.15,6.7,4.42,8,3.49,2.25,3.30,2.60,.93,.10,.83,.77,.03,.73,1.35,.85,.07,.78,5.60
brutal,3.07,5.13,4.4,5.12,6,7.35,2.58,2.75,1.95,.73,.30,.43,.73,.17,.57,1.93,.73,.23,.50,9.90
bubble,6.43,4.19,6.8,3.06,6,8.00,2.61,1.70,1.50,.83,.13,.70,.73,.17,.57,1.43,.78,.15,.63,5.99
bucket,4.55,2.96,6.6,3.24,6,10.02,2.71,1.85,1.85,.80,.23,.57,.83,.40,.43,.45,.82,.32,.50,1.33
buckle,5.05,3.76,6.3,4.12,6,5.04,2.41,1.80,1.70,.90,.23,.67,1.00,.30,.70,.05,.95,.27,.68,.19
buddy,7.41,4.57,5.0,3.21,5,102.88,3.72,1.90,1.35,.73,.27,.47,.72,.07,.66,2.41,.73,.17,.56,11.01
budget,4.56,3.33,4.4,5.30,6,10.06,2.71,1.90,2.55,.77,.27,.50,.60,.33,.27,.44,.68,.30,.38,1.47
buffer,5.42,4.05,4.6,5.27,6,1.67,1.93,1.85,1.55,.73,.33,.40,.70,.17,.53,.42,.72,.25,.47,1.70
buffet,6.05,4.95,6.5,4.24,6,4.43,2.36,2.30,1.90,.90,.23,.67,.90,.23,.67,1.05,.90,.23,.67,5.20
buffoon,3.95,5.70,4.2,5.82,7,.86,1.65,2.90,2.20,.93,.07,.87,.80,.10,.70,1.05,.87,.08,.78,5.99
buggy,4.65,4.04,5.9,4.73,5,2.49,2.11,1.85,1.45,.73,.23,.50,.67,.27,.40,.35,.70,.25,.45,1.41
bugle,5.05,4.41,5.4,5.52,5,1.73,1.95,1.85,2.50,.77,.10,.67,.80,.17,.63,.05,.78,.13,.65,.22
building,5.47,3.35,6.7,3.61,8,99.57,3.71,2.20,1.85,.63,.07,.57,.60,.17,.43,.47,.62,.12,.50,1.57
bullet,3.45,5.89,7.0,4.27,6,38.24,3.29,1.80,1.80,.83,.10,.73,.73,.40,.33,1.55,.78,.25,.53,9.13
bully,2.67,5.86,6.0,4.12,5,7.22,2.57,1.45,1.45,.83,.10,.73,.80,.10,.70,2.33,.82,.10,.72,13.65
bummer,2.57,4.32,3.1,4.21,6,4.16,2.33,1.90,1.65,.77,.07,.70,.83,.17,.67,2.43,.80,.12,.68,10.50
bundle,5.10,3.48,5.6,4.55,6,3.90,2.30,1.85,1.90,.80,.33,.47,.80,.20,.60,.10,.80,.27,.53,.35
bungee,5.71,6.35,6.1,5.06,,,,,,.73,.17,.57,.67,.20,.47,.71,.70,.18,.52,4.51
bunion,3.48,4.11,4.2,5.94,6,.69,1.56,2.20,2.45,.77,.13,.63,.80,.13,.67,1.52,.78,.13,.65,6.25
bunker,4.70,4.23,5.3,5.61,6,4.69,2.38,1.85,1.85,.80,.17,.63,.57,.20,.37,.30,.68,.18,.50,1.27
buoy,5.90,2.68,4.6,5.58,4,1.18,1.79,1.75,1.00,.93,.00,.93,.80,.13,.67,.90,.87,.07,.80,2.41
burden,3.05,3.96,3.7,5.48,6,9.82,2.70,2.00,1.90,.73,.43,.30,.70,.33,.37,1.95,.72,.38,.33,7.72
bureau,4.70,3.74,4.6,5.91,6,11.14,2.76,2.50,1.95,.87,.17,.70,.72,.17,.55,.30,.80,.17,.63,1.12
burger,6.95,3.65,6.8,3.21,6,10.24,2.72,1.85,1.85,.73,.07,.67,.60,.13,.47,1.95,.67,.10,.57,7.12
burglar,2.67,5.32,6.3,4.42,7,5.53,2.45,2.50,2.35,.80,.27,.53,.87,.30,.57,2.33,.83,.28,.55,12.40
burlesque,5.68,5.30,4.2,6.36,9,.71,1.57,3.90,3.35,.90,.07,.83,.90,.13,.77,.68,.90,.10,.80,3.60
burro,4.86,4.04,4.5,5.64,5,.90,1.67,1.85,1.75,.87,.13,.73,.70,.17,.53,.14,.78,.15,.63,.57
burrow,5.53,3.52,4.9,4.97,6,.55,1.46,1.85,1.75,.83,.17,.67,.83,.40,.43,.53,.83,.28,.55,1.87
